month,CH_PV_mean,CH_temp_mean,P_PV_mean,P_temp_mean
1,1.3462432795698924,-4.393263440860215,0.8603736559139785,3.876225806451613
2,1.730404761904762,-8.568528273809525,1.5745104166666666,4.624815476190476
3,2.2535,0.791311320754717,1.6303611859838276,6.9062735849056605
4,2.2282125,7.931176388888889,1.9168541666666667,9.509251388888888
5,2.100133064516129,14.289149193548388,2.0770094086021507,11.469012096774193
6,2.1816680555555554,18.08136388888889,1.8175166666666667,13.281298611111112
7,2.3198145161290324,21.65609677419355,1.9079663978494623,15.596736559139785
8,2.2871586021505377,21.950774193548387,1.7418709677419355,16.133448924731184
9,2.025211111111111,20.196413888888888,1.551238888888889,11.948213888888889
10,1.7590214765100671,12.668169127516778,1.0702456375838927,7.8583140939597325
11,1.5461886269070735,7.668352288488211,0.788130374479889,6.833485436893204
12,0.9414395161290323,3.7606209677419353,0.7970631720430107,7.185435483870967
